Date,AA_arr_delay,AS_arr_delay,B6_arr_delay,DL_arr_delay,EV_arr_delay,F9_arr_delay,FL_arr_delay,HA_arr_delay,MQ_arr_delay,OO_arr_delay,UA_arr_delay,US_arr_delay,VX_arr_delay,WN_arr_delay,ArrDelay,AA_dept_delay,AS_dept_delay,B6_dept_delay,DL_dept_delay,EV_dept_delay,F9_dept_delay,FL_dept_delay,HA_dept_delay,MQ_dept_delay,OO_dept_delay,UA_dept_delay,US_dept_delay,VX_dept_delay,WN_dept_delay,DeptDelay,TotalCancel
2014-05-22,679,180,413,835,828,171,104,87,493,885,739,688,101,2220,8423,644,123,367,811,819,159,133,70,373,728,819,561,107,2412,8126,412
2014-05-23,636,189,326,803,745,178,85,87,537,836,674,530,89,1907,7622,615,107,328,787,742,156,118,68,390,629,806,434,92,2296,7568,225
2014-05-24,339,132,151,354,334,71,34,101,256,449,305,266,31,712,3535,353,90,184,360,392,52,84,63,201,333,459,241,29,1035,3876,68
2014-05-25,461,84,120,347,265,96,63,85,312,378,214,194,22,798,3439,450,55,134,305,271,68,89,69,266,266,358,176,22,977,3506,91
2014-05-26,561,120,173,772,661,97,96,44,478,590,496,314,32,1448,5882,486,59,161,705,641,69,106,31,378,474,578,242,26,1610,5566,134
2014-05-27,708,154,296,889,957,68,103,38,555,669,742,545,74,2012,7810,624,77,288,824,919,61,135,20,445,544,834,433,76,2279,7559,573
2014-05-28,589,170,310,718,1058,104,78,40,626,681,677,468,68,1638,7225,573,88,305,710,1043,90,103,24,486,532,782,355,72,1998,7161,340
2014-05-29,576,154,201,746,885,125,68,49,501,771,570,405,54,1375,6480,496,84,208,715,829,108,90,34,362,623,712,317,64,1766,6408,115
2014-05-30,595,171,183,939,966,151,85,91,598,783,635,478,60,1516,7251,511,115,171,822,850,126,84,65,427,649,724,396,54,1848,6842,171
2014-05-31,378,129,153,614,514,69,88,69,315,456,275,293,23,877,4253,372,86,146,536,494,50,88,58,230,364,469,249,38,1231,4411,56
2014-06-01,504,124,157,715,725,114,65,40,455,631,424,333,32,1263,5582,524,76,155,716,725,87,90,34,363,517,592,283,51,1606,5819,190
2014-06-02,578,162,189,513,849,89,46,33,545,714,502,366,59,1501,6146,570,101,171,552,831,74,71,16,435,582,682,273,56,1884,6298,223
2014-06-03,468,153,225,536,653,108,52,26,382,609,489,389,46,1343,5479,476,88,223,488,657,85,71,8,298,502,633,272,47,1701,5549,246
2014-06-04,527,134,210,622,805,97,67,54,569,668,565,418,50,1651,6437,469,97,193,587,726,73,85,36,410,521,653,316,55,1986,6207,147
2014-06-05,500,152,295,870,864,132,97,74,405,721,697,529,57,1879,7272,491,79,266,858,788,98,102,39,284,550,809,407,63,2245,7079,163
2014-06-06,666,152,178,875,1029,168,91,53,514,791,733,427,59,1786,7522,613,101,186,859,934,128,108,31,379,625,822,350,44,2184,7364,114
2014-06-07,404,126,141,517,599,71,60,38,335,545,390,356,32,1131,4745,435,95,150,534,614,61,70,26,261,430,557,296,29,1485,5043,111
2014-06-08,900,191,249,765,1030,170,75,48,742,865,783,582,76,2123,8599,793,114,223,788,943,134,104,30,592,707,837,487,54,2190,7996,213
2014-06-09,1128,186,331,719,1007,125,68,52,761,755,868,560,67,2196,8823,1043,121,309,804,947,105,92,22,636,616,964,465,49,2387,8560,629
2014-06-10,710,200,331,1031,1257,100,126,57,719,824,888,687,65,2304,9299,659,127,304,960,1180,85,125,27,554,646,970,544,61,2425,8667,346
2014-06-11,915,162,410,1174,1097,143,128,35,639,742,827,690,78,2262,9302,783,110,357,1126,1017,120,141,18,480,570,876,567,76,2376,8617,472
2014-06-12,1170,257,274,937,1039,133,117,43,676,795,873,697,107,2469,9587,1040,185,265,1048,966,100,139,25,567,640,984,611,98,2528,9196,658
